смт Рудне (Народний дім),"49.83706404896418, 23.87322937473482","90, 150",,,
смт Рудне (вул. Володимира Великого),"49.835834770388175, 23.875919740054137","90, 150",,,
смт Рудне (вул. Центральна),"49.836475447274644, 23.878323824676436","320, 30",,,
смт Рудне (вул. Лугова),"49.83745361055909, 23.88492756065542","0, 360",,,
смт Рудне (вул. Лесі Українки),"49.83990842365828, 23.887362503909603","10, 90",,,
Рудне (вул. Мазепи),"49.83965854750147, 23.890837796027675","70, 150",,,
Рудне (вул. Коновальця),"49.83838168303754, 23.895538655521452","30, 110",,,
Рудне (Кiльцева дорога),"49.83899582333963, 23.899037442139992","110, 205",,,
Три Слони,"49.830317550497234, 23.905796865360625","120, 190",,,
"Гіпермаркет ""Епіцентр""","49.82456827825243, 23.910240742021198","120, 190",,,
Городоцька-Кільцева,"49.821155192605104, 23.917166258115248","40, 110",,,
"ТЦ ""МЕТРО"", Автостанція ""Західна""","49.82181494093209, 23.920055810469872","40, 110",,,
Азов-Галичина,"49.822569161785516, 23.92526114784692","30, 100",,,
вул. Станційна,"49.823572866325804, 23.930101790296987","30, 100",,,
вул. Каховська,"49.82706449148185, 23.949181082859706","30, 110",,,
вул. Вільхова,"49.828780851693736, 23.95837666534794","30, 110",,,
вул. Вівсяна,"49.82986532453992, 23.96461972776491","30, 110",,,
Мотозавод,"49.830799407511044, 23.969059310470396","30, 110",,,
Богданівка,"49.832704745505765, 23.97920845836527","30, 110",,,
вул. Народна,"49.83350510608401, 23.98458950177826","30, 110",,,
вул. Кульпарківська,"49.83452572650409, 23.99005932806997","30, 110",,,
"ТРЦ ""Скриня""","49.835407254088345, 23.99490841223742","30, 110",,,
Привокзальний ринок,"49.83615588226897, 23.999376820959267","30, 110",,,
пл. Кропивницького,"49.837325497312335, 24.00464023508977","15, 100",,,
 Цирк,"49.84075297539464, 24.01251617601472","15, 100",,,
Церква святої Анни,"49.84207218501345, 24.0165703088849","15, 100",,,
вул. Северина Наливайка,"49.843316793495305, 24.022893042212367","15, 110",,,
пр. В'ячеслава Чорновола,"49.84674949001271, 24.025765517792046","320, 30",,,
Палац культури ім. Гната Хоткевича,"49.85127702575775, 24.024413557261155","300, 10",,,
вул. Хімічна,"49.85451890442543, 24.022964914751455","300, 10",,,
вул. Окуневського,"49.8562892837319, 24.01947702006192","210, 270",,,
вул. Бальзака,"49.85515390823486, 24.01445049297906","0, 360",,,
вул. Струмок,"49.85788672174342, 24.011624928297504","0, 360",,,
вул. Петра Панча,"49.86220722225027, 24.007707514762007","0, 360",,,
вул. Варшавська(зворотня),"49.8667207158774, 24.016088319504835","120, 190",,,
Парк 700-річчя Львова(зворотня),"49.86185125091828, 24.01861361508448","120, 190",,,
Шевченківська райадміністрація(зворотня),"49.85817265958928, 24.020686247260237","120, 190",,,
Шевченківська райадміністрація(зворотня) 1,"49.85635355165567, 24.021680241417304","120, 190",,,
вул. Хімічна(зворотня),"49.85436194624659, 24.022701535745405","120, 190",,,
вул. Пантелеймона Куліша(зворотня),"49.84938383151753, 24.025146316754444","120, 190",,,
пр. В'ячеслава Чорновола(зворотня),"49.84547274614262, 24.02509003493491","120, 190",,,
"ТЦ ""Магнус""(зворотня)","49.8441270784144, 24.024274643397824","190, 260",,,
Церква святої Анни(зворотня),"49.84287574799725, 24.018078265308333","230, 330",,,
Захисникiв України(зворотня),"49.8423014779281, 24.015449700684744","150, 210",,,
Цирк(зворотня),"49.840386036552715, 24.012022599617612","200, 270",,,
пл. Кропивницького(зворотня),"49.837782716110375, 24.005593413755008","200, 270",,,
Привокзальний ринок(зворотня),"49.83647606684253, 23.999327714316042","200, 270",,,
"ТРЦ ""Скриня""(зворотня)","49.8357140764092, 23.994717056518567","220, 300",,,
вул. Кульпарківська(зворотня),"49.834609474712934, 23.989892005534564","210, 280",,,
вул. Народна(зворотня),"49.833910543718076, 23.985235690789782","210, 280",,,
Богданівка(зворотня),"49.832616456769756, 23.97855162586178","210, 280",,,
Мотозавод(зворотня),"49.83078945152841, 23.967350721130146","210, 280",,,
вул. Вівсяна(зворотня),"49.82991744743919, 23.96296262716887","210, 280",,,
вул. Вільхова(зворотня),"49.828823959755866, 23.95720124199645","210, 280",,,
вул. Каховська(зворотня),"49.82707294382538, 23.946483134876306","210, 280",,,
вул. Станційна(зворотня),"49.82392372403988, 23.930894136198898","210, 280",,,
Азов-Галичина(зворотня),"49.822747039856324, 23.924242257667125","210, 280",,,
"ТЦ ""МЕТРО"", Автостанція ""Західна""(зворотня)","49.82189728977759, 23.918413108699767","210, 280",,,
"Гіпермаркет ""Епіцентр""(зворотня)","49.82454779142072, 23.910411804809662","300, 10",,,
Рудне (Кiльцева дорога)(зворотня),"49.83927341209852, 23.89846027838816","210, 280",,,
Рудне (вул. Коновальця)(зворотня),"49.83832915139587, 23.8955166672044","230, 300",,,
Рудне (вул. Мазепи)(зворотня),"49.839591635610766, 23.890851862739257","270, 340",,,
смт Рудне (вул. Лесі Українки)(зворотня),"49.83987845612757, 23.887400349839393","210, 285",,,
смт Рудне (вул. Нагірних)(зворотня),"49.83971053773143, 23.87711981519421","0, 360",,,
смт Рудне (вул. Шевченка)(зворотня),"49.84046132757598, 23.86548012650822","260, 330",,,
смт Рудне (Духовна cемінарія)(зворотня),"49.84292450751182, 23.860845269313263","180, 359",,,
Санта-Барбара,"49.785174740737226, 24.059429625662954","330, 30",,,
Коломийська,"49.78756677084788, 24.059399211279892","330, 31",,,
Коломиська Хвильового,"49.78793368225214, 24.066926749751357","15, 75",,,
Кос-Анатольського,"49.79130576934005, 24.06758889983631","296, 353",,,
Антоненка-Давидовича,"49.792736818680844, 24.06556844165451","290, 350",,,
Івана Кавалерідзе,"49.794659643857806, 24.06509129594317","45, 105",,,
Сихівська,"49.796963433055026, 24.0721709719874","336, 6",,,
Зубрівська,"49.80239485038168, 24.06543261815796","297, 357",,,
ДБК,"49.80610457652408, 24.062314045628543","335, 35",,,
Фрезерний завод,"49.81147371259127, 24.061631559523025","323, 23",,,
Бузкова,"49.81371594099663, 24.06042823002716","310, 10",,,
Джорджа Вашингтона,"49.815900724566085, 24.063199541614164","55, 115",,,
Перинатальний центр,"49.815900724566085, 24.063199541614164","80, 140",,,
"ТЦ ""Метро-2""","49.81442065549005, 24.07532860581164","82, 142",,,
Лисинецька,"49.817139010208116, 24.077362545502922","315, 15",,,
Ярошинської,"49.822349215328344, 24.075399143643168","315, 16",,,
Майорівка,"49.82611589899282, 24.073437229867658","274, 334",,,
Ліцей Героїв Крут,"49.82802766973384, 24.07121224950237","300, 360",,,
Таджицька,"49.83075255648833, 24.068666803413155","280, 340",,,
Пасічна,"49.83617735137125, 24.067587088631335","245, 305",,,
Богдана Котика,"49.83724954383642, 24.061145275727107","257, 317",,,
Шевченківський Гай,"49.838527875234355, 24.055510935113322","256, 316",,,
Медичний університет,"49.84012483909698, 24.049029084111737","260, 320",,,
Військовий госпіталь,"49.84032853315244, 24.0432102429215","220, 280",,,
пл. Митна,"49.839833261792506, 24.037923029761895","238, 298",,,
Шевченківська райадміністрація,"49.85778860401806, 24.021329163459942","310, 10",,,
Парк 700-річчя Львова,"49.86259769755698, 24.018781746200972","310, 10",,,
вул. Варшавська,"49.86592447085236, 24.017130416922317","310, 10",,,
На Нивах,"49.86552264143459, 24.010705795783903","223, 283",,,
вул. Тунельна,"49.862709018488395, 24.003875805846192","200, 260",,,
Петрицького,"49.86183015341541, 23.999839778325075","265, 325",,,
